아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
사이코룩스 결정,Milira Expanded - Future Technology,제작 가능,"밀리라 범용 작업대, 입자 구축기",,,"MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Edict, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Healing, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_MindStabilizer, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_Tac",,Manufactured,MEXY_PsycholuxCrystal
상크티스 인장,Milira Expanded - Future Technology,,,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,MEXY_SanctisSigil
생명 정수 단위,Milira Expanded - Future Technology,,,,설비 생산: 생명 정수 추출기,"MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Edict, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Healing, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_Tactical",,"Manufactured, Medicine",MEXY_LifeEssenceUnit
섬멸 폭풍,Milira Expanded - Future Technology,제작 가능,입자 구축기,,"궤도 상인 구매, 상인 구매",퀘스트·보상: MEXY_Guide_AnnihilationStorm,,WeaponsRanged,MEXY_Annihilation_Storm
에이돌론 인장,Milira Expanded - Future Technology,,,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,MEXY_EidolonSigil
에테림 심판자,Milira Expanded - Future Technology,제작 가능,입자 구축기,,"궤도 상인 구매, 상인 구매",퀘스트·보상: MEXY_Guide_AetherimJudicator,,WeaponsRanged,MEXY_Aetherim_Judicator
영혼 승천 동기화기,Milira Expanded - Future Technology,제작 가능,입자 구축기,,,,,Manufactured,MEXY_SoulAscensionSynchronizer
오라클 결정,Milira Expanded - Future Technology,,,,,아이템 사용·개봉: 상크티스 인장,,Manufactured,MEXY_OracleCrystal
인지 범람 조절기,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_CognitiveDelugeRegulator",,Milira_Apparel_Utility,MEXY_CognitiveDelugeRegulator
접힌 공간 가속기,Milira Expanded - Future Technology,제작 가능,입자 구축기,,"궤도 상인 구매, 상인 구매",퀘스트·보상: MEXY_Guide_FoldedSpaceAccelerator,,WeaponsRanged,MEXY_FoldedSpaceAccelerator
중력격자 비단,Milira Expanded - Future Technology,제작 가능,"밀리라 범용 작업대, 입자 구축기",,,퀘스트·보상: MEXY_Guide_GravilatticeSilk,,Manufactured,MEXY_GravilatticeSilk
중력격자 합금,Milira Expanded - Future Technology,제작 가능,"밀리라 범용 작업대, 입자 구축기",,,"MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Edict, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Exoskeleton, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Omen, MiliraExpandedXY.Drone.Decision.Xml.DroneExecuteModuleDef: Const",,Manufactured,MEXY_GravilatticeAlloy
지각 보호막 – 공명,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_ShieldCoreMelee, 퀘스트·보상: MEXY_Guide_ShieldCoreMeleeOverclock",,Milira_Apparel_Utility,MEXY_ShieldCore_Melee
지각 보호막 – 시제품,Milira Expanded - Future Technology,제작 가능,밀리라 범용 작업대,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_ShieldCorePrototype",,Milira_Apparel_Utility,MEXY_ShieldCore_Prototype
지각 보호막 – 조율,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 퀘스트·보상: MEXY_Guide_ShieldCoreRanged, 퀘스트·보상: MEXY_Guide_ShieldCoreRangedOverclock",,Milira_Apparel_Utility,MEXY_ShieldCore_Ranged
통합 전술 장비,Milira Expanded - Future Technology,제작 가능,태양 용광로,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Utility,MEXY_IntegratedTacticalGear_Apparel
표준 기억 저장 장치,Milira Expanded - Future Technology,,,,,,,Manufactured,MEXY_StandardMemoryStorageUnit
표준 물질 단위,Milira Expanded - Future Technology,,,,"설비 생산: 물질 분해기, 설비 생산: 자동 물질 추출기, 설비 생산: 휴대용 물질 분해기","MiliraExpandedXY.Buildings.MatterGlobalListsDef: MEXY_MatterGlobalLists_Default, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Dawn, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalModule_Edict, MiliraExpandedXY.Drone.Carrier.TacticalModuleDef: MEXY_TacticalMod",,Manufactured,MEXY_StandardMatterUnit
"""아포칼립스"" 지정사수소총",Milira Faction: Milira Imperium,,,,적 장비 노획,,,"MI_ThingCategory_WeaponsSpecial, WeaponsRanged",PLAMiliraSariel_Gun
AR-23 가우스 자동소총,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Kinetic, WeaponsRanged",Milira_CiGaussAutorifle
AR-61 가우스 자동소총,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Kinetic, WeaponsRanged",Milira_GaussAutorifle
DBS-2 산탄총,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Kinetic, WeaponsRanged",Milira_DBSIIShotgun
R-63 가우스 지정사수소총,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,,,"MI_ThingCategory_WeaponsRanged_Kinetic, WeaponsRanged",Milira_MarksmanGaussrifle
가르강튀아 코어,Milira Faction: Milira Imperium,,,,,,,Manufactured,Milira_GargantuaCore
가속 플라즈마건,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Plasma, WeaponsRanged",Milira_TaranPlasmaGun
공허 모노 싸이블레이드,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_MonoPsyblade_II
뉴트로늄,Milira Faction: Milira Imperium,제작 가능,밀리라 중력 직조기,,,,,ResourcesRaw,Milira_Neutronium
뉴트로늄 직물,Milira Faction: Milira Imperium,제작 가능,밀리라 중력 직조기,,,,,Textiles,Milira_NeutroniumFabric
델린의 베레모,Milira Faction: Milira Imperium,,,,,,,Milira_Apparel_Overhead,Milira_DellinBeret
델린의 우비,Milira Faction: Milira Imperium,,,,,,,Milira_Apparel_OnSkin,Milira_DellinAttire
디보션,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Energy, WeaponsRanged",Milira_DevotionLMG
디보션,Milira Faction: Milira Imperium,,,,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Energy, WeaponsRanged",Milira_DevotionLMG_II
레버 레일건,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Kinetic, WeaponsRanged",Milira_LeverRailgun
리디아의 깃털 장식,Milira Faction: Milira Imperium,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_DarkWarriorFeatherDeco
리디아의 정신 방어 펜던트,Milira Faction: Milira Imperium,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,ApparelUtility,Milira_LydiasPendant
리디아의 해군 제복,Milira Faction: Milira Imperium,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_DarkWarriorAttire
모노 싸이블레이드,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_MonoPsyblade
밀리라 고스트 전술 고글,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_ShadowTacticalGoggles
밀리라 고스트 전술 슈트,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ShadowCombatSuit
밀리라 깃털 장식,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_FeatherDeco
밀리라 네메시스 아머,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ElitePirateArmor
밀리라 네메시스 장식,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_ElitePirateDeco
밀리라 뇌명검,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_GreatSword_Pirate
밀리라 대거 전투복,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_CombatantSuit
밀리라 대검,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_HolySword
밀리라 레트로 기사 갑옷,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_RetroKnightArmor
밀리라 레트로 기사 투구,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_RetroKnightHelmet
밀리라 레트로 헌터 슈트,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_RetroHunterSuit
밀리라 레트로 헌터 헬멧,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_RetroHunterHelmet
밀리라 방한 점프수트,Milira Faction: Milira Imperium,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ThermalJumpsuit
밀리라 보닛,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 밀리라 셀레스티얼 머리 장식",,Milira_Apparel_Overhead,Milira_ImperiumOrdinaryHatI
밀리라 복고풍 해군 제복,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_RetroNavalUniform
밀리라 사제복,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_Priest_Uniform
밀리라 셀레네 아머,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 능력·유전자: Hediff_ForceWearAfterDelay_Remiel",,Milira_Apparel_OnSkin,Milira_NavalUniform
밀리라 셀레네 헤드셋,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_TacticalHeadset
밀리라 셀레스티얼 드레스,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_CelestialDress
밀리라 셀레스티얼 머리 장식,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_CelestialDressHairDeco
밀리라 시그룬 파워 아머,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_MarinePowerArmor
밀리라 시그룬 파워 헬멧,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_MarinePowerHelmet
밀리라 아스테리아 제복,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_NavigatorUniform
밀리라 안전모,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_SafetyHelmet
밀리라 양날검,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_Rakuyo
밀리라 연금술사 의복,Milira Faction: Milira Imperium,,,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ImperiumOrdinaryIV
밀리라 요리사 모자,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_ImperiumChefHat
밀리라 용살대궁,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,,,,"MI_ThingCategory_WeaponsSpecial, WeaponsRanged",Milira_DragonslayerGreatbow_II
밀리라 용살창,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_DragonslayerSpear
밀리라 월광 대검,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_MoonLightGreatSword
밀리라 이식표,Milira Faction: Milira Imperium,,,,,"AlienRace.ThingDef_AlienRace: Milira_Race, 능력·유전자: Hediff_ForceWearAfterDelay_Remiel",,Milira_Apparel_Overhead,Milira_eartag
밀리라 전투 마스크,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_CombatantMask
밀리라 전투 코트,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Shell,Milira_CombatantCoat
밀리라 제국 기록 보관소,Milira Faction: Milira Imperium,,,,"궤도 상인 구매, 상인 구매",,,Books,Milira_ImperiumArchive
밀리라 제국 예복,Milira Faction: Milira Imperium,,,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ImperiumOrdinaryIII
밀리라 제국 월계관,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_ImperiumOrdinaryHatIII
밀리라 제국 의복,Milira Faction: Milira Imperium,,,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ImperiumOrdinaryI
밀리라 조종사 선글라스,Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_PilotSunglasses
밀리라 조종사 선글라스 (내려씀),Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_PilotSunglassesIII
밀리라 조종사 선글라스 (머리 위),Milira Faction: Milira Imperium,제작 가능,"전기 재봉 작업대, 재봉 작업대, 밀리라 재단 작업대, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_PilotSunglassesII
밀리라 천둥 망치,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_Hammer_Pirate
밀리라 칼리스토 아머,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_PirateArmor
밀리라 칼리스토 헤드셋,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_Overhead,Milira_PirateHeadSet
밀리라 포세이돈 모듈,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 아스테시아 오토캐논, 아이템 사용·개봉: 후이 빙의 아스테시아 오토캐논",,Milira_Apparel_Overhead,Milira_PoseidonHeadset
밀리라 포세이돈 파워 아머,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,"AlienRace.ThingDef_AlienRace: Milira_Race, 아이템 사용·개봉: 아스테시아 오토캐논, 아이템 사용·개봉: 후이 빙의 아스테시아 오토캐논",,Milira_Apparel_OnSkin,Milira_HeavyPowerArmor
밀리라 프린터건,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,WeaponsRanged,Milira_PrinterGun
밀리라 학원 제복,Milira Faction: Milira Imperium,,,,,AlienRace.ThingDef_AlienRace: Milira_Race,,Milira_Apparel_OnSkin,Milira_ImperiumOrdinaryV
밀리라의 부서진 대검,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_ShatteredGreatSword
밀리라의 천둥창,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_Spear_Pirate
보호막 역장,Milira Faction: Milira Imperium,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Milira_Race,,ApparelUtility,Milira_Lydiashield
볼트 SMG,Milira Faction: Milira Imperium,,,,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Energy, WeaponsRanged",Milira_VoltSMG_II
볼트 SMG,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Energy, WeaponsRanged",Milira_VoltSMG
브림스톤 중기관총,Milira Faction: Milira Imperium,제작 가능,"태양 용광로, 밀리라 중력 직조기",,적 장비 노획,,,"MI_ThingCategory_WeaponsRanged_Kinetic, WeaponsRanged",Milira_GaussMachinegun
비렐리아의 창,Milira Faction: Milira Imperium,재료 확보 불가,"태양 용광로, 밀리라 중력 직조기",초능력 코어,,,,"MI_ThingCategory_WeaponsMelee, WeaponsMelee",Milira_Spear_Pirate_Enhanced
